Name,URL
,https://www.bankaletihad.com/en/
,https://www.bankaletihad.com/en/
Mobile banking,https://www.bankaletihad.com/en/mobile-app/
العربية,https://www.bankaletihad.com/ar/
,https://www.bankaletihad.com/en/branch-finder/
Business Banking,https://business.bankaletihad.com
Open an account,https://www.bankaletihad.com/en/request-form/?category=accounts
Read more,https://www.bankaletihad.com/en/mafhoom-al-etihad/
Accounts,https://www.bankaletihad.com/en/personal/accounts/
Cards,https://www.bankaletihad.com/en/personal/cards/
Shorouq,https://www.bankaletihad.com/en/personal/shorouq/
Loans,https://www.bankaletihad.com/en/personal/loans/
Investments,https://www.bankaletihad.com/en/personal/investments/
Mobile App,https://www.bankaletihad.com/en/mobile-app/
Transfers,https://www.bankaletihad.com/en/personal/transfers/
Loyalty,https://www.bankaletihad.com/en/personal/loyalty/etihad-ultimate-rewards/
Insurance,https://www.bankaletihad.com/en/personal/bancassurance/
Find your card,https://www.bankaletihad.com/en/personal/cards/
Find out more,https://www.bankaletihad.com/en/knowledge-hub/personal/
Find out more,https://www.bankaletihad.com/en/personal/accounts/current-account/
Find out more,https://www.bankaletihad.com/en/personal/shorouq/shorouq-savings-account/
Find out more,https://www.bankaletihad.com/en/personal/loans/mortgage-loan/
Find out more,https://www.bankaletihad.com/en/mobile-app/
Open an account,https://www.bankaletihad.com/en/request-form/?category=accounts
Android download,https://play.google.com/store/apps/details?id=com.ofss.fcdb.mobile.android.phone.BAE.launcher&hl=en
iOS download,https://itunes.apple.com/us/app/bank-al-etihad-%D8%A8%D9%86%D9%83-%D8%A7%D9%84%D8%A5%D8%AA%D8%AD%D8%A7%D8%AF/id1060048474?mt=8
,https://www.bankaletihad.com/en/
Who we are,https://www.bankaletihad.com/en/who-we-are/
Social Responsibility,https://www.bankaletihad.com/en/social-responsibility/
Sustainability and Responsible Banking,https://www.bankaletihad.com/en/sustainability-and-responsible-banking/
Terms and Privacy,https://www.bankaletihad.com/en/terms-and-privacy/
Saving Account's Winners,https://www.bankaletihad.com/en/winner-program/
Community Engagement,https://www.bankaletihad.com/en/community/
Blog,https://blog.bankaletihad.com/en/
Why work for us?,https://www.bankaletihad.com/en/why-work-for-us/
Benefits of Employment,https://www.bankaletihad.com/en/our-benefits-and-opportunities/
Corporate Governance,https://websitev3-cms-cdn.bankaletihad.com/2023/10/310119-Corporate-Governance-Manual-2023.pdf
IT Governance,https://websitev3-cms-cdn.bankaletihad.com/2022/11/IT-Corporate-governance-manual-for-Web-Single-CC2022.pdf
CBJ Fraud Awareness Guide,https://websitev3-cms-cdn.bankaletihad.com/2023/08/Awareness-Guide-on-methods-of-Financial-fraud.pdf
Fees and Charges,https://www.bankaletihad.com/en/fees-and-charges/
Deposits Interest Rates,https://www.bankaletihad.com/en/interest-rate-on-deposits/
Real Estate for Sale,https://www.bankaletihad.com/en/real-estate/
FATCA,https://websitev3-cms-cdn.bankaletihad.com/2022/04/FATCA-general-information.pdf
Promotions,https://www.bankaletihad.com/en/promotions/
Knowledge Hub,https://www.bankaletihad.com/en/knowledge-hub/personal/
Knowledge Hub for business,https://www.bankaletihad.com/en/knowledge-hub/business/
Learn,https://www.bankaletihad.com/en/learn/
Non-Financial Services,https://www.bankaletihad.com/en/non-financial-services/
Elevate Program,https://www.bankaletihad.com/en/elevate/
Anti-Financial Crime Policy,https://websitev3-cms-cdn.bankaletihad.com/2025/01/AML-Policy.pdf
Investors Presentations,https://www.bankaletihad.com/en/investors-presentations/
Investor News,https://www.bankaletihad.com/en/investor-news/
Share Price,https://www.bankaletihad.com/en/share-price/
Annual Report,https://www.bankaletihad.com/en/annual-reports/
Make a complaint or suggestion,https://www.bankaletihad.com/en/make-a-complaint-or-suggestion/
Customer Feedback Survey,https://www.bankaletihad.com/en/customer-feedback-survey/
Support,https://www.bankaletihad.com/en/support/
Facebook,https://www.facebook.com/BankalEtihadJo
X,https://x.com/bankaletihadjo
YouTube,https://www.youtube.com/channel/UCXIPd2PxUzggOAtCSr59o7g
Instagram,https://www.instagram.com/bankaletihadjo/?hl=en
