,Name,URL,Text
0,Terms & Privacy,https://www.bankaletihad.com/en/terms-and-privacy/,"Elevate Program
Share Price
It’s through an anonymous form as part of statistics or other aggregated data shared with third parties
Sustainability and Responsible Banking
The information is incorrect, or we suspect any fraud, then we’ll have to pass this on to fraud prevention and law enforcement agencies
Access the personal data we hold about you, or get a copy of it
– Credit cards
– Your mobile network
– Agents and sub-contractors
We’re always investing in new technologies to protect your money against fraud. We also want you to be safe and alert when it comes to scams and tricks.
Ask us to stop processing your personal information if you don’t agree with the way we’re using it. We’ll stop processing your information unless it overrides with our legal obligations (Just to let you know that if we stop processing your information, we may no longer be able to operate your account and provide you with our products and services)
Besides the information you share with us, we gather and hold personal information about you, your business, and transactions from:
We promise not to share your personal information with anyone unless:
– Insurance services
Investors Presentations
It’s needed for our services and offerings
– Spending behaviour
Blog
We’re permitted by law, or is necessary for our legitimate interests or those of a third party
– Your geolocation coordinates
Support
info@bankaletihad.com
Who we share your personal information with
You have a number of rights over personal data that we hold about you. You have the right to:
When you sign a contract
Channels you use to bank with us such as ATMs, online banking, and our mobile app
Give you the best products and services
Information from social networks or online accounts, this means your online profile and social media activity
You’ve given us the green light to do so
Withdraw consent you’ve given us for your personal information at any time
Your rights
Information and Services
It’s required for a proposed sale, reorganisation, transfer, financial arrangement, asset disposal, or other transaction relating to our business and/or assets held by our business
FATCA
Learn
Where it is in our legitimate interests do so as an organisation, without harming your interests, fundamental rights, and freedom
IT Governance
If we change the way we process and use your personal information, we’ll let you know right away by email and by updating our website.
Saving Account's Winners
– Market analysis and benchmarking organisations
Annual Report
Make a complaint or suggestion
How and why we get this information from you
When you open an account with us, and apply for a product or service
Investor Relations
Customer Feedback Survey
We’re required by law and by law enforcement agencies, judicial bodies, government entities, tax authorities, or regulatory bodies worldwide
Terms and Privacy
Follow
– Your IP address or operating system
With third party organisations that provide you with benefits or services like:
How we keep your data safe
With debt collection agencies
Real Estate for Sale
Built on family values, we see every customer as one of our own and respect protecting your privacy. We want you to understand how we use your personal information to give you the solutions and services you need. If you have any questions, speak to us through our app, over the phone by calling + (962) 6 560 0444, or email us at
Make us correct your personal information if it’s inaccurate
– Biometric data like your physical, physiological, or behavioural characteristics (For example, we use voice recognition or similar technologies to help us prevent fraud and money laundering)
The saved records we hold about you helps us serve you better. We’ll be able to get back to you with answers to your questions or complaints, provide you with the services you need, and protect you against fraud.
With other banks and third parties, where it’s required by law to recover funds that entered your account because of misdirected payments
– Your smart device’s information
– Your security authentication
We will keep your data for as long as you bank with us, and for 10 years after that required by the law.
Home
Public sources such as the press and online search engines
Why work for us?
Terms & Privacy
Knowledge Hub for business
– Your education and employment history
Benefits of Employment
Instagram
Information you submit through our app, website or at any of our branches. This may include:
Careers
Investor News
With credit reference and fraud prevention agencies
Information on how you use your phone and what you give us permission to access on it
– Your name, address, date of birth, contact details
We may keep your information for a longer period of time, particularly if it’s an order from the court or an investigation by law enforcement agencies or our regulators. This is to make sure that we’re able to produce records as evidence, whenever they’re needed.
Our privacy policy describes how we hold and process your personal information
What we hold about you
Make responsible decisions, perform data analysis, data matching, and profiling
YouTube
Terms & Privacy | Bank al Etihad - Jordan
.
To keep our services up and running, manage our business and financial affairs, and to protect our customers, employees and property. This may include processing your information to:
– Cybersecurity services
Corporate Governance
Anti-Financial Crime Policy
Holding your data is in compliance with legal and regulatory requirements. They’re kept as evidence for our business activities and help us demonstrate that we’re meeting our responsibilities.
About Us
When we are required by law to collect and process certain personal information about you
With third parties providing services to us like:
We’ll make sure that your account and personal information are always safe and secure, especially with third parties that act on our behalf.
Other parties who provide services to you or us
Non-Financial Services
Facebook
, like your personal wealth, assets and liabilities, proof of income and expenditure, credit and borrowing history, and needs and goals
We gather and process personal information throughout our journey together to keep your account safe and secure. Here’s what we hold about you:
– Web site visits
X
CBJ Fraud Awareness Guide
– A photo of you; whether passport photo or selfie on the app!
Get in touch
Promotions
Deposits Interest Rates
Fees and Charges
Your account details and transaction history with us
Community Engagement
How long we keep your information
Social Responsibility
Information about your financial status
– Correspondent banks
Knowledge Hub
Who we are"
1,Fees and Charges,https://www.bankaletihad.com/en/fees-and-charges/,"Elevate Program
Anti-Financial Crime Policy
Share Price
See what you’ve spent this month, and stay up to date on your transactions and learn your spending habits to save and spend smarter.
Real Estate for Sale
About Us
Support
Sustainability and Responsible Banking
Hands-free transactions on your behalf using your favorite personal assistant, Siri.
Facebook
Non-Financial Services
Siri integration
This page provides a transparent and detailed overview of all the fees and charges associated with our banking services. We believe in clear communication, so we’ve outlined everything from account maintenance fees to transaction charges and more. This way, you can easily understand and anticipate any costs, making sure there are no surprises!
Home
Scan and pay bills from your phone, and transfer money instantly to any of your other accounts.
Mobile banking
Why work for us?
Information and Services
Android download
X
Knowledge Hub for business
All your finances at your fingertips
Bank Fees and Charges | Bank al Etihad - Jordan
CBJ Fraud Awareness Guide
FATCA
iOS download
Benefits of Employment
Learn
Get in touch
Promotions
IT Governance
Deposits Interest Rates
Instagram
Saving Account's Winners
Careers
Investors Presentations
Read our full list of Fees & Charges here.
Investor News
One tap payments
Annual Report
Fees and Charges
Make a complaint or suggestion
YouTube
Easily manage your credit card; pay your bills, control spending limits, and freeze your card if lost or stolen.
Community Engagement
Manage cards on the go
Customer Feedback Survey
Investor Relations
Social Responsibility
Blog
Knowledge Hub
Terms and Privacy
Follow
Corporate Governance
Account analytics
Who we are"
2,Personal Accounts Overview,https://www.bankaletihad.com/en/personal/accounts/,"Elevate Program
Products - Accounts
Share Price
Sustainability and Responsible Banking
Get a head start on your future and start saving. With a simple savings account that offers benefits, rewards and prizes that help kick your goals into high gear.
Current Account
Your bank account is a selfie away
Scan and pay bills from your phone, and transfer money instantly to any of your other accounts.
Investors Presentations
One tap payments
Manage cards on the go
Blog
Salary Account
If you’re thinking or planning on traveling soon, we want to share with you a few tips to make sure it’s a smooth and safe experience, allowing you to fully focus on having fun and making the most of your time.
Support
Family Program Account
Ready to get started? Apply online today
Mobile banking
Information and Services
No matter what the nature of your work is, everybody needs a bank account to rely on. With a salary account, you can take advantage of perks, rewards and conveniently receive your salary on a monthly basis.
Travel Tips
FATCA
Accounts
Learn
IT Governance
Saving Account's Winners
Annual Report
Make a complaint or suggestion
Customer Feedback Survey
Investor Relations
Terms and Privacy
Savings Account
Follow
Real Estate for Sale
Find out more
Buy & Sell gold with just a few taps.
Home
Why work for us?
Android download
Personal Bank Accounts  | Bank al Etihad - Jordan
Tharaa Savings Account
Knowledge Hub for business
Benefits of Employment
Instagram
Careers
Investor News
For flexible and day-to-day banking, a current account is a must for anyone looking to conveniently pay bills, access money through writing checks and other debits.
YouTube
Gold Account
Your Family bank account is a selfie away
Corporate Governance
Open an account
Salary account
Anti-Financial Crime Policy
See what you’ve spent this month, and stay up to date on your transactions and learn your spending habits to save and spend smarter.
About Us
Personal Bank Accounts
Hands-free transactions on your behalf using your favorite personal assistant, Siri.
Facebook
Non-Financial Services
Digital Bank Account
Siri integration
X
All your finances at your fingertips
CBJ Fraud Awareness Guide
Get in touch
Earn interest with a Tharaa’ savings account, maximise your money and enter the draw for cash prizes to better shape your future.
iOS download
Promotions
Deposits Interest Rates
Fees and Charges
Easily manage your credit card; pay your bills, control spending limits, and freeze your card if lost or stolen.
Community Engagement
Social Responsibility
Knowledge Hub
Account analytics
Who we are"
3,Current Account,https://www.bankaletihad.com/en/personal/accounts/current-account/,"Minimum balance: 100 JOD
Elevate Program
Products - Accounts
Eligibility:
Share Price
Sustainability and Responsible Banking
Current Account
get in touch
What we offer:
Scan and pay bills from your phone, and transfer money instantly to any of your other accounts.
before you apply or
Investors Presentations
Managing my account:
Fees:
One tap payments
Manage cards on the go
Blog
Apply online now
Support
Credit cards tailored to you.
Mobile banking
Information and Services
to know more.
One of your recent utility bills - electricity, water, etc.
If are unable to provide a utility bill, you can provide a bill from your internet service provider which clearly states your address
FATCA
Accounts
Learn
IT Governance
Compare Cards
Saving Account's Winners
Current vs. Salary Account
Annual Report
, where you can settle monthly payments, bills, freeze your cards, analyse and categorise your spending. You can also enable your card for online purchases and set a daily spending limits.
Make a complaint or suggestion
, on the other hand, is designed to fit the needs of every employee with lower fees and no minimum balance required.
Find the right credit card for you.
Customer Feedback Survey
Investor Relations
A valid national ID or passport for Jordanians
Terms and Privacy
Follow
Minimum age requirement, 18 years old
Real Estate for Sale
Annual Fee: None
For flexible and day-to-day banking, a current account is a must for anyone looking to conveniently access their money, pay bills, or issue checks.
Home
An official letter from your employer stating your monthly income, hiring date and current employment status.
Why work for us?
If the utility bill provided is not in your name, you will need to provide proof of relation such as a civil family book
Android download
Knowledge Hub for business
Benefits of Employment
Instagram
Careers
Investor News
A valid residency permit for non-Jordanians
YouTube
salary account
Corporate Governance
Anti-Financial Crime Policy
To apply, you’ll need:
It is important to understand the ins and outs of your current account so, please make sure you read the
Checkbook
See what you’ve spent this month, and stay up to date on your transactions and learn your spending habits to save and spend smarter.
About Us
Hands-free transactions on your behalf using your favorite personal assistant, Siri.
Terms & Conditions
Non-Financial Services
Facebook
Siri integration
Take control of your finances and manage your current account by using the Bank al Etihad
mobile app
A debit card that you can use for both online and offline shopping worldwide as well as withdrawing money from any ATM
With a current account you can manage your daily expenses and write off checks by issuing a checkbook. A
X
All your finances at your fingertips
CBJ Fraud Awareness Guide
Get in touch
iOS download
Promotions
Deposits Interest Rates
Fees and Charges
Easily manage your credit card; pay your bills, control spending limits, and freeze your card if lost or stolen.
Community Engagement
Social Responsibility
Personal Current Account | Bank al Etihad - Jordan
Knowledge Hub
If you are renting a home, you will need to provide a lease contract
Account analytics
Who we are"
4,Savings Account,https://www.bankaletihad.com/en/personal/accounts/savings-account/,"Minimum balance: 100 JOD
Elevate Program
Products - Accounts
Eligibility:
Share Price
Sustainability and Responsible Banking
get in touch
What we offer:
Tharaa’ savings account
Scan and pay bills from your phone, and transfer money instantly to any of your other accounts.
before you apply or
Investors Presentations
Managing my account:
Fees:
One tap payments
Savings account vs. Tharaa’ account
Manage cards on the go
Blog
Apply online now
Support
Credit cards tailored to you.
Mobile banking
Information and Services
to know more.
One of your recent utility bills - electricity, water, etc.
If are unable to provide a utility bill, you can provide a bill from your internet service provider which clearly states your address
FATCA
Accounts
Learn
IT Governance
Compare Cards
Saving Account's Winners
Annual Report
, where you can settle monthly payments, bills, freeze your cards, analyse and categorise your spending. You can also enable your card for online purchases and set a daily spending limits.
Make a complaint or suggestion
Find the right credit card for you.
Customer Feedback Survey
Investor Relations
A valid national ID or passport for Jordanians
Terms and Privacy
Savings Account
Follow
Take control of your finances and manage your secure savings account by using the Bank al Etihad
Birth certificate, or ID for minors
It is important to understand the ins and outs of your savings plan so, please make sure you read the
Minimum age requirement, 18 years old
Real Estate for Sale
Annual Fee: None
Interest rate: 0.375% paid every 6 months
Home
An official letter from your employer stating your monthly income, hiring date and current employment status.
Why work for us?
If the utility bill provided is not in your name, you will need to provide proof of relation such as a civil family book
Android download
Knowledge Hub for business
With a personal savings account you can earn interest up to 0.375% which is paid every 6 months based on the amount in your account. Meanwhile a
Benefits of Employment
Instagram
Careers
Investor News
A valid residency permit for non-Jordanians
YouTube
Savings Account | Bank al Etihad - Jordan
Corporate Governance
Anti-Financial Crime Policy
offers 0.05% interest rate paid every six months and makes you eligible for daily, weekly and monthly cash prizes.
To apply, you’ll need:
See what you’ve spent this month, and stay up to date on your transactions and learn your spending habits to save and spend smarter.
About Us
Hands-free transactions on your behalf using your favorite personal assistant, Siri.
Terms & Conditions
Non-Financial Services
Facebook
Siri integration
mobile app
Get a head start on your future and start saving. Open a simple high-interest savings account that offers benefits that help achieve your financial goals.
X
All your finances at your fingertips
CBJ Fraud Awareness Guide
Get in touch
iOS download
Promotions
Deposits Interest Rates
Fees and Charges
Easily manage your credit card; pay your bills, control spending limits, and freeze your card if lost or stolen.
Community Engagement
Social Responsibility
An official letter from your employer stating your monthly income, hiring date and current employment status
Knowledge Hub
If you are renting a home, you will need to provide a lease contract
Account analytics
Who we are"
5,Digital Bank Account,https://www.bankaletihad.com/en/personal/accounts/digital-bank-account/,"Elevate Program
Products - Accounts
Eligibility:
Only Jordanian citizens residing in Jordan or one of the following Gulf countries: Saudi Arabia, United Arab Emirates, Kuwait, Sultanate of Oman, Bahrain or Qatar are eligible for this type of account. If you are a non-Jordanian resident or an American passport holder, we are happy to serve you in any of our branches
Share Price
debit card
Sustainability and Responsible Banking
Go digital
get in touch
Scan and pay bills from your phone, and transfer money instantly to any of your other accounts.
Effortless cashback
before you apply or
Additional perks:
straight from your phone. With no monthly fees or minimum balance, you’ll also get your debit card delivered straight to your doorstep.
Digital Bank Account   | Bank al Etihad - Jordan
Minimum age requirement: 18 years old
here
Investors Presentations
Learn more
Every time you spend with your card, you earn cashback. Simple as that!
Proof of address, such as a recent utility bill, rent contract or house deed
No inward transfer fee
One tap payments
when you shop with your
Manage cards on the go
Blog
Apply online now
Bank anytime, anywhere
It is important to understand the ins and outs of your digital account, so please make sure you read the
Support
No minimum balance required
Open your account from your phone in a matter of minutes through our step-by-step guide
Credit cards tailored to you.
Mobile banking
Information and Services
to know more.
If are unable to provide a utility bill, you can provide a bill from your internet service provider which clearly states your address
Maximum amount allowed in the digital account: 50,000 JOD
FATCA
Accounts
Learn
IT Governance
How to open a digital account
Compare Cards
Saving Account's Winners
Annual Report
Make a complaint or suggestion
Find the right credit card for you.
Customer Feedback Survey
No salary transfer fee
Investor Relations
Terms and Privacy
Follow
Real Estate for Sale
To apply you’ll need:
Home
! Once your debit card is delivered to you – for free via courier – scan the back of it on our app. Then, transfer money from an existing account or deposit money through one of our ATMs, and you’re good to go!
Why work for us?
A valid national ID or passport
deals and discounts
Android download
Knowledge Hub for business
Benefits of Employment
Instagram
Careers
Investor News
Enjoy a bank account that you can open and
YouTube
No annual fee
.
Corporate Governance
Anti-Financial Crime Policy
Discounts from your favourite brands
See what you’ve spent this month, and stay up to date on your transactions and learn your spending habits to save and spend smarter.
About Us
Hands-free transactions on your behalf using your favorite personal assistant, Siri.
Terms & Conditions
Non-Financial Services
Digital Bank Account
Facebook
Siri integration
With our mobile banking app, all your finances are in one place — from easy money management to cashback rewards and complete card control.
X
All your finances at your fingertips
CBJ Fraud Awareness Guide
Get in touch
iOS download
Promotions
Deposits Interest Rates
Get the best
manage
Fees and Charges
Easily manage your credit card; pay your bills, control spending limits, and freeze your card if lost or stolen.
Community Engagement
Social Responsibility
Knowledge Hub
A smartphone with the Bank al Etihad app installed
Account analytics
Who we are"
6,Credit Cards Overview,https://www.bankaletihad.com/en/personal/cards/,"Elevate Program
Anti-Financial Crime Policy
Share Price
Signature Credit Card
None
Real Estate for Sale
About Us
Support
Sustainability and Responsible Banking
50 JOD.
Facebook
Non-Financial Services
100 JOD.
Travel with ease in the Middle East and beyond with a 24/7 concierge service and comprehensive insurance coverage for peace of mind.
Infinite Credit Card
150 JOD.
Explore our wide range of cards including credit cards, debit cards and reward tailored to suit your financial needs. Compare features and benefits to find the best credit card that matches your lifestyle and spending habits.
Get unlimited airport lounge access, a dedicated 24/7 concierge, and exclusive VIP experiences designed for frequent travellers.
Monthly interest rate
Foreign Currency Credit Card
Credit Cards
Cards
Pay in multiple currencies (US Dollar, Euro, and British Pound) without worrying about exchange rates. Perfect for travellers and online international shopping.
Home
Credit Cards | Bank al Etihad - Jordan
Gold Credit Card
Why work for us?
Information and Services
X
Knowledge Hub for business
Annual Fee
70 JOD.
CBJ Fraud Awareness Guide
FATCA
Platinum Credit Card
Benefits of Employment
Learn
Get in touch
Promotions
:
IT Governance
Deposits Interest Rates
Instagram
1.5%
Saving Account's Winners
Careers
Investors Presentations
Investor News
Learn more
Annual Report
Fees and Charges
Make a complaint or suggestion
YouTube
Community Engagement
Customer Feedback Survey
Investor Relations
CHOOSE THE RIGHT CARD FOR YOU
•
Social Responsibility
Your everyday companion! Flexible payments, exclusive offers, and essential travel benefits.
Blog
Knowledge Hub
Upgrade your lifestyle with exclusive access to select airport lounges, dining offers, and extra travel protection.
Terms and Privacy
Follow
Corporate Governance
Who we are"
7,Gold Credit Card,https://www.bankaletihad.com/en/personal/cards/gold-credit-card/,"Shopping
Elevate Program
: Enjoy exclusive visa offers at select fashion, homeware, and electronics stores around the world
Share Price
Issuance fee: Free
Sustainability and Responsible Banking
?
Gold Credit Card
Scan and pay bills from your phone, and transfer money instantly to any of your other accounts.
High credit limit
Hotels and car rentals
before you apply or
touch
Agoda
Investors Presentations
, to make every trip more memorable
Visa
One tap payments
To learn more about the exclusive benefits of the Visa Gold Credit Card, visit the
Manage cards on the go
Blog
Apply online now
Avis
Support
Experiences and attractions
Everyday benefits
: Take advantage of global emergency support including cardholder inquiries, card blocking within 30 minutes in case of loss or theft, next-day emergency replacement, and emergency cash disbursement of up to USD 5,000
A bank account statement for the last 6 months
Credit cards tailored to you.
Exclusive discounts
in
Mobile banking
Information and Services
to know more.
: Enjoy a spending limit of up to 4 times your monthly income
FATCA
Learn
: Get exclusive discounts on a range of hotels and car rental services like
A valid passport and work residency for non-Jordanians
IT Governance
Compare Cards
Saving Account's Winners
page.
Travel benefits
Insurance and assistance
Annual Report
When you apply for a credit card, you can choose the repayment plan that works for you. You can pay 100% of the balance or 4% at the end of each billing cycle. If you only pay 4%, the remaining balance will have a 1.5% monthly interest added to it.
Make a complaint or suggestion
Find the right credit card for you.
Customer Feedback Survey
Investor Relations
Terms and Privacy
Follow
Products - Cards
Real Estate for Sale
Minimum monthly salary: 450 JOD
To view additional fees, please visit the
Home
Why work for us?
Android download
Knowledge Hub for business
: Earn up to 3% cashback depending on your rank every time you spend with your card
Renewal fee: Free
: Turn almost any purchase into installments with 0% interest at our
SIXT
Benefits of Employment
Instagram
Careers
Investor News
How do credit card repayments work
: Enjoy discounts on global activity booking platforms like
YouTube
website.
Enjoy a range of exclusive benefits that turn every experience into a unique journey.
get
Corporate Governance
Anti-Financial Crime Policy
To apply, you’ll need:
Salary slips for the last 3 months, along with a job offer letter or employment contract
See what you’ve spent this month, and stay up to date on your transactions and learn your spending habits to save and spend smarter.
About Us
Hands-free transactions on your behalf using your favorite personal assistant, Siri.
Terms & Conditions
Gold Credit Card | Bank al Etihad - Jordan
A valid national ID for Jordanians
Non-Financial Services
The Bicester Collection
Facebook
Siri integration
Cards
Additional fees:
ُEligibility:
It is important to understand how your Bank al Etihad credit card works so, please make sure you read the
X
Instant cashback
and
All your finances at your fingertips
: Get the best deals from our partner brands when you shop with your credit card
fees and charges
CBJ Fraud Awareness Guide
Get in touch
iOS download
Promotions
, and only 1% interest at non-partner stores
partner stores
Deposits Interest Rates
Easy Payment Plans
Fees and Charges
Easily manage your credit card; pay your bills, control spending limits, and freeze your card if lost or stolen.
Community Engagement
Social Responsibility
Explore the possibilities
Knowledge Hub
Account analytics
Who we are"
8,Platinum Credit Card,https://www.bankaletihad.com/en/personal/cards/platinum-credit-card/,"Elevate Program
Eligibility:
Share Price
Turn any purchase into installments with 0% interest when purchasing from
If you spend 2,500 JOD or more per year using your Visa Platinum Credit Card, the annual fees will be waived
Exclusive discounts:
Airport services:
Sustainability and Responsible Banking
?
get in touch
Scan and pay bills from your phone, and transfer money instantly to any of your other accounts.
Activities and tourist attractions:
,
Protection benefits
before you apply or
Get great deals from stores in our partner network when you pay with your credit card
YQ
Visa Airport Companion
Agoda
Minimum monthly salary: 625 - 1,250 JOD
app. Includes discounts on personal assistance services
To view the other fees, please visit our
Get exclusive deals from Visa at select fashion, home, and electronics stores worldwide, like the Bicester Collection
here
Investors Presentations
Learn more
Visa
One tap payments
Purchase protection:
Manage cards on the go
Blog
Apply online now
Avis
Hotel and car deals:
To learn more about the exclusive benefits of the Visa Platinum Credit Card, visit the
Support
Credit limit can be up to 4 times your monthly salary
Everyday benefits
Shopping:
our partner network
Insurance and assistance:
Emergency services:
Credit cards tailored to you.
Mobile banking
Information and Services
to know more.
Discounts when booking through sites like
FATCA
Platinum Credit Card
Access to 25 airport lounges worldwide with 6 free visits per year through the
Learn
IT Governance
A valid passport and work residency for non-Jordanians
Compare Cards
Saving Account's Winners
Extended warranty:
Travel benefits
Give yourself more freedom and take your travels to the next level with unmatched benefits.
Annual Report
When you apply for a credit card, you can choose the repayment plan that works for you. You can pay 100% of the balance or 4% at the end of each billing cycle. If you only pay 4%, the remaining balance will have a 1.5% monthly interest added to it.
Make a complaint or suggestion
Find the right credit card for you.
Customer Feedback Survey
Investor Relations
Free coverage for items you buy with your Visa Platinum card that are stolen, damaged, or not delivered
Terms and Privacy
Additional fees
Follow
Products - Cards
Earn up to 3% cashback based on your rank every time you use your card
Discounts on luxury hotels and car rental services like
24/7 medical support while travelling by calling 0097142536024. Services include phone consultations, medicine delivery, referrals to medical providers, pre- and post-hospitalisation support, and more. Learn more
Real Estate for Sale
Up to 15% off meet and assist services at over 450 destinations worldwide. Visit
Express yourself
Home
Platinum Credit Card | Bank al Etihad - Jordan
Why work for us?
Android download
Knowledge Hub for business
YQ service:
Account analytics
Supplementary card fees: Free for the first year and 25 JOD per year after that. If you spend 1,250 JOD or more per year using your supplementary card, the annual fees will be waived
SIXT
to explore all the benefits
Benefits of Employment
Adds up to one extra year to the manufacturer’s warranty, covering repair or replacement costs
:
Instagram
Careers
webpage.
How do credit card repayments work
Investor News
YouTube
website.
Corporate Governance
Instant cashback:
Anti-Financial Crime Policy
To apply, you’ll need:
Support for card-related issues, including cancellation of lost or stolen cards within 30 minutes, next-day card replacement, and access to up to $5,000 in emergency cash
See what you’ve spent this month, and stay up to date on your transactions and learn your spending habits to save and spend smarter.
About Us
Hands-free transactions on your behalf using your favorite personal assistant, Siri.
Terms & Conditions
A valid national ID for Jordanians
Non-Financial Services
Facebook
The Bicester Collection
Siri integration
Cards
to make every trip more memorable
It is important to understand how your Bank al Etihad credit card works so, please make sure you read the
, and only 1% interest when purchasing from stores outside the network
A recent salary slip, along with a job offer letter or employment contract
X
and
All your finances at your fingertips
CBJ Fraud Awareness Guide
Get in touch
iOS download
High credit limit:
Promotions
Deposits Interest Rates
VLHC
An account statement for the last 6 months
Fees and Charges
Easily manage your credit card; pay your bills, control spending limits, and freeze your card if lost or stolen.
Community Engagement
Easy payment plans:
Social Responsibility
Knowledge Hub
Annual fee: Free for the first year and 50 JOD per year after that
Who we are"
9,Infinite Credit Card,https://www.bankaletihad.com/en/personal/cards/infinite-credit-card/,"Shopping
Elevate Program
Share Price
Supplementary card fees: Free for the first year and 50 JOD per year after that. If you spend 3,500 JOD or more per year using your supplementary card, the annual fees will be waived
: Turn any purchase into installments with 0% interest when purchasing from
Sustainability and Responsible Banking
24/7 personal and digital
Fast-track claims:
get in touch
Scan and pay bills from your phone, and transfer money instantly to any of your other accounts.
High credit limit
Activities and tourist attractions:
Protection benefits
Enter a world of endless perks with our Infinite credit card.
Everyday Benefits
before you apply or
YQ
Visa Airport Companion
Agoda
app. Includes discounts on personal assistance services
To view the other fees, please visit our
here
Investors Presentations
Learn more
Visa
One tap payments
: Adds up to one extra year to the manufacturer’s warranty, covering repair or replacement costs
Manage cards on the go
Blog
Apply online now
Hotel and car deals:
Extended warranty
Support
How do credit card repayments work?
our partner network
Insurance and assistance:
Emergency services:
Credit cards tailored to you.
Exclusive discounts
Mobile banking
Information and Services
to know more.
To learn more about the exclusive benefits of the Visa Infinite Credit Card, visit the
Discounts when booking through sites like
FATCA
Learn
IT Governance
A valid passport and work residency for non-Jordanians
Compare Cards
concierge
: Coverage of up to $3,000 per case and $5,000 per year for unauthorised card use
Saving Account's Winners
: Credit limit can be up to 4 times your monthly salary
Travel benefits
Annual Report
When you apply for a credit card, you can choose the repayment plan that works for you. You can pay 100% of the balance or 4% at the end of each billing cycle. If you only pay 4%, the remaining balance will have a 1.5% monthly interest added to it.
Make a complaint or suggestion
Find the right credit card for you.
Customer Feedback Survey
Investor Relations
Fraud protection
Terms and Privacy
Follow
Products - Cards
Up to 20% off meet and assist services at over 450 destinations worldwide. Visit
VIP discounts at luxury hotels with free exclusive benefits and a wide range of car rental options
services.
Real Estate for Sale
Purchase protection
If you spend 7,000 JOD or more per year using your Visa Infinite Credit Card, the annual fees will be waived.
Annual fees: Free for the first year and 100 JOD per year after that.
Infinite Credit Card
: Get great deals from stores in our partner network when you pay with your credit card
Home
Concierge:
Monthly income requirement: 1,750 – 3,500 JOD
Why work for us?
Android download
Knowledge Hub for business
YQ service:
to explore all the benefits
Benefits of Employment
: Earn up to 3% cashback based on your rank every time you use your card
Instagram
Careers
webpage.
Investor News
Live your best life
YouTube
website.
: Access to over 1,300 airport lounges in 500+ cities with unlimited free visits every year for you and one guest through the
.
Corporate Governance
Anti-Financial Crime Policy
To apply, you’ll need:
Support for card-related issues, including cancellation of lost or stolen cards within 30 minutes, next-day card replacement, and access to up to $5,000 in emergency cash
See what you’ve spent this month, and stay up to date on your transactions and learn your spending habits to save and spend smarter.
About Us
Hands-free transactions on your behalf using your favorite personal assistant, Siri.
Terms & Conditions
A valid national ID for Jordanians
Non-Financial Services
Facebook
The Bicester Collection
Siri integration
Fees
Cards
: Get exclusive deals from Visa at select fashion, home, and electronics stores worldwide, like The Bicester Collection
Eligibility
Infinite Credit Card | Bank al Etihad - Jordan
It is important to understand how your Bank al Etihad credit card works so, please make sure you read the
Multi-trip travel insurance for up to 90 days per trip for you and your family. Services include 24/7 medical support like phone consultations, medicine delivery, referrals to medical providers, pre- and post-hospitalisation support, and more. Call 0097142536024 for assistance. Learn more
, and only 1% interest when purchasing from stores outside the network
A recent salary slip, along with a job offer letter or employment contract
X
Instant cashback
and
All your finances at your fingertips
CBJ Fraud Awareness Guide
: Free coverage for items you buy with your Visa Infinite card that are stolen, damaged, or not delivered
Get in touch
iOS download
Promotions
Deposits Interest Rates
An account statement for the last 6 months
Easy Payment Plans
Faster processing for claims under $500, such as medical costs, trip or baggage delays, cancellations, personal belongings, and purchase protection
Fees and Charges
Easily manage your credit card; pay your bills, control spending limits, and freeze your card if lost or stolen.
Community Engagement
Social Responsibility
Knowledge Hub
Airport services
Account analytics
Who we are"
