Name,URL,Text
The Housing Bank for Trade and Finance - Housing Bank,https://hbtf.com/en,
Contact Us - Housing Bank,https://hbtf.com/en/contact,"contact us - housing bank send suggestion / inquiry you can send any inquiry or suggestion by filling out the designated form. customer complaints we are keen to allow all our customers to exercise their right to file a complaint through several means. contact direct sales team members to answer private banking. frequently asked questions the housing bank for trade & finance responds to whatever queries you have in regards to any of our services. view help, inquiries, and suggestions customers of the housing bank can send any inquiry or suggestion through the following means: calling the iskan call center 24/7 at +962 6 5 200400 from any fixed or mobile line or the toll-free number 080022111. please indicate, in your inquiries and suggestions, the new bank account number and the landline and / or cell phone number, in order to be able to communicate with you as soon as possible.to protect your accounts, please do not include your card numbers or your passwords in any correspondence. fill out the online custom form, by clicking on the button below: main branch telephone service center (iskan 24/7) and the talking bank: +9626 5200400 or the number 080022111 info@hbtf.com.jo +962 6 5005555 facsimile +962 6 (5678121 - 5691675) e-mail info@hbtf.com.jo p.o. box : ( 7693) , postal code (11118) – jordan swift hbhojoaxxxx al-shumaysani, prince shaker bin zaid street amman, jordan"
Retail - Housing Bank,https://hbtf.com/en/retail,"retail - housing bank pay easily pay fast with apple pay no need to carry your card from now on! through iskan mobile book your safety deposit box with a press on button upgrade your vehicles to make your work easier issue your iskan v card wherever you are and shop online securely virtual prepaid card package of financing programs in the field of housing, personal or auto loans. programs provided for you to meet your needs through mutaqbali and edge program. many choices offers to you to make wire transfer service in major currencies, in jordan and any place in the world. many of benefits you will get from the safety deposit boxes to protect your valuables, provided by most of our branches. learn more specially designed for our youth clients aged 18-25 representative office in abu dhabi through our representative office in the united arab emirates – abu dhabi, we provide information and consultations regarding banking services available in jordan numerous benefits come with visa platinum credit card easy approval conditions and competitive interest rates save for your children in any of housing bank branches western union transfers sending & receiving money within moments an electronic service available via smart phones that enables corporate clients to carry out financial and banking transactions on their accounts from anywhere and at any time for free and in a secure manner. housing bank direct payment cards (visa and mastercard), where the amounts are deducted directly from your bank account and give you a wide range of benefits that are designed to suit all your needs at any time you want"
Edge - Housing Bank,https://hbtf.com/en/retail/programs/edge,"edge - housing bank benefits designed for you edge is designed by housing bank to recognize our most distinguished customers and provide them with personalized services to meet their banking needs. edge banking enjoy the elitism of being an edge top customer with housing bank, which always aims to provide personalized services to meet your banking expectations! when you become an edge customer, you will enjoy exclusive features and benefits of specially customized products and banking services that suit your aspirations! banking features preferential interest rates on loans and deposits sixty free checkbook leaves once a year exemption from housing bank fee for local or international transfers once a month free debit card issuance (edge) exemption from foreign currency deposit commission except for the us dollar the exemption applies only if deposited us dollars are the new print ( blue print ) exemption from salary transfer commission for edge customers classified based on their transferred salary enjoy the benefits and luxury level of services with our visa infinite credit card free account statement preferential rates on automated and safety deposit boxes exemption of 100% on the primary and supplementary credit cards issuance fees for the first year service features a dedicated relationship manager tailored centers at shmeisani, abdoun, gardens, um uthaina, jubaiha, al-madina al-munawara, dabouq, prince rashed district, rabieh, abdullah ghosheh st., zahran, ethaa’, private banking services branches, qaser shbeb and wasfi altall street branch 24/7 call service center on 065200400 priority at branches and loan applications customized mobile banking theme and design automated safe deposit boxes for the first time in housing bank, you have 24/7 access to your valuable belongings. keep your valuable and important documents. automated safety deposit boxes are available in shmeisani and um uthaina branches in different sizes to suit your needs. you can access your box anytime through fingerprint. for more information about (edge): - visit one of our relationship managers at any dedicated center. to review the branch locations with edge centers please click here​​ to contact edge dedicated centers please click here​​ contact us through iskan (iskan 24/7) at +96265200400 benefits of safety deposit boxes service faqs about edge how to join edge program? you can join the edge program based by meeting one of the following criteria: - a monthly transferred salary to housing bank with minimum value of 2600 jods or equivalent in foreign currencies. - the total value of credit facilities (housing loans/ personal loans/ car loans) granted to the edge customer should be 200,000 jods or more. - the average balance of the customer's accounts (time deposits / current / savings) should not be less than 70,000 jods or equivalent in foreign currencies. in which housing bank branches edge centers are available? - shmeisani - abdoun - gardens- um uthaina- jubaiha- al-madina al-munawara- dabouq- prince rashed district - al-rabieh - abdullah ghosheh st. - zahran - ethaa - private banking services branches - qaser shbeb - wasfi al-tal irbid who is the edge program for? edge was created for our most distinguished customers to provide them with personalized services that meet their banking needs. what are the featured services edge program customers can use on iskan mobile? - customized mobile banking theme and design - cheque book request - credit card request - safety deposit application. boxes - cardless withdrawal and deposit - western union express transfer service (inquiry, send money, receive money) - bill payment through efawateercom - credit card payments /settlements - cliq services - personal loan request - auto loan request - housing loan request - locating housing bank atms and branches - crif credit inquiry - activation of sanad digital identity - travel insurance services - card location control"
Corporate Banking Sector - Housing Bank,https://hbtf.com/en/corporate,"corporate banking sector - housing bank online corporate trading channel designed for indirect facilities’ clients to cope with the developments concerning environmental, social and economic sustainability standards revitalization of various businesses and the implementation of contracts and support the import and export operations. industrial loan online middle office unit – mou we are the communication unit of hbtf clients for trade operations and transfers. credit programs and business planning unit e-mail: dsu.cbg@hbtf.com.jo green fainance housing bank offers a unique programs for green financing and renewable energy projects through collaborations with external parties. these programs offer numerous advantages, such as lower interest rates, cashback, flexible repayment periods, and other advantages that meet the diverse needs of customers in the banking sector program dedicated to financing new and existing projects (including expansion, improvement and development). central bank program to support msme’s in cooperation with arab fund for economic and social development. middle office unit – mou communication unit for trade operations and transfers. to cope with the development concerning integrated banking solutions and services in the field of corporate finance for all customer segments, from small, medium and large companies, with many advantages banking services without borders meets the requirements of financial institutions through the network of local and foreign branches of the housing bank and a network of correspondents covering more than 60 countries"
Treasury & Investment - Housing Bank,https://hbtf.com/en/treasury-investment,"treasury & investment - housing bank learn more fx & precious metals we offer you the opportunity to deal in the foreign exchange markets quickly and at competitive prices we provide you with the ability to deal in the local, regional and international capital markets (stock markets/debt instruments) we provide you with innovative investment solutions based on extensive studies that meet your needs we offer you investment services such as safe custody, issuance and investment services financial advisory financial advisory services that suit your requirements in various economic sectors treasury sales we serve you to keep abreast of all the changes taking place in the foreign exchange markets money market money market services: grant financing (lending) and accept deposits (borrowing) to customers at competitive amounts and prices we have the treasury team at your service. contact details trade in international markets and stay up to date with your investment portfolio anytime, anywhere, through iskan e-trading service (available through hbtf invest app) ​the aim of this section is to strengthen the relationship between the hbtf group with the investors and financial institutions by providing adequate information pertaining to the group in terms of facts and performance.​ ase reports 2025 stock markets bulletin – amman stock exchange/international indices"
بنك الإسكان للتجارة والتمويل - بنك الاسكان,https://hbtf.com/?language=en,
About HBTF - Housing Bank,https://hbtf.com/en/the-bank,"about hbtf - housing bank about hbtf the housing bank for trade and finance was established in 1973 as a jordanian limited public shareholding company. the bank began its work as a bank specialized in the field of housing finance with a capital of half a million dinars, and after 24 years. our vision: the housing bank for trade & finance (hbtf) is the preferred bank for customers. board members our core values: satisfying customers, caring for employees and rewarding outstanding performance and teamwork. management team financial indicators htbf's major financial performance and indicators vision and mission housing bank was established in 1973 as a public shareholding limited company with a capital amounting to half a million jd our strategically positioned regional network enhances our ability to support our retail & corporate clients important information and non-deposited shares and disclosures about our shareholders. gam the general assembly meeting of housing bank for trade and finance. achieving sustainability by pursuing a strategic approach in its policies and practices. bank news economic newsletter the latest updates in terms of economic, financial and banking. includes financial performance and work achievements. ​the aim of this section is to strengthen the relationship between the hbtf group with the investors and financial institutions by providing adequate information pertaining to the group in terms of facts and performance.​ the bank is characterized by being a socially-active institution, which emerged from it's keenness to embody its vision, not only through banking services and products, but also through ongoing commitment to community service. housing bank's successful journey has paid off, and it has earned many high credit ratings from international institutions and it has also received several other awards and certificates."
Board of Director - Housing Bank,https://hbtf.com/en/board-of-director,board of director - housing bank h.e. mr. abdel elah al-khatib represented by mr. yousef mahmoud al-neama vice chairman represented by mr. ramzi talat mari represented by mr. khalid majid al-nuaimi represented by mrs. maryam mohd al-kuwari kuwait investment authority represented by mrs. mashael mubarak mohammad almaskati libyan foreign bank represented by mr. mohammed ali abdallah addarrat mr.naji moh issa belgasem represented by mr. abdallah mohammad muflih abu jamous represented by mr. fadi abdelwahab abdelfattah abughaush mr. faisal fahad abdelaziz almuzaini mr. mohammed misfer alajmi dr. mohammed lutfi mohammed aljafari buthaina abawi secretary of the board h.e. mr. abdel elah al-khatib represented by mr. yousef mahmoud al-neama vice chairman represented by mr. ramzi talat mari represented by mr. khalid majid al-nuaimi represented by mrs. maryam mohd al-kuwari kuwait investment authority represented by mrs. mashael mubarak mohammad almaskati libyan foreign bank represented by mr. mohammed ali abdallah addarrat mr.naji moh issa belgasem represented by mr. abdallah mohammad muflih abu jamous represented by mr. fadi abdelwahab abdelfattah abughaush mr. faisal fahad abdelaziz almuzaini mr. mohammed misfer alajmi dr. mohammed lutfi mohammed aljafari buthaina abawi secretary of the board
Management - Housing Bank,https://hbtf.com/en/management,management - housing bank ammar al-safadi chief executive officer business sector vasken ajemian​ chief business officer (cbo) george nahhas svp - head of treasury & investments mohammad abu zahra evp - head of corporate ramzi masoud evp - head of retail said dajani svp - head of financial institutions operations sector chief operations officer (coo) sahel al beitar svp - head of information technology ameed albatran svp - head of central operations suzan al shanti vp -head of human resources bashar fakhouri vp -head of administration & engineering affairs ghadeer barrishi vp -head of marketing & corporate communications ibrahim alalaween vp - head of business processes re-engineering finance sector nidal ahmad chief financial officer (cfo) credit management amro musa evp - head of credit risk management ali al-mimi evp - head of risk management audit basil isbahe evp -head of internal audit nayef al-hussein evp - head of compliance legal counselor ramzi nuzha evp - legal counselor
